test_case,seed,model,angle_deg,target_cos,hit_rank,hit_name,hit_sim,hit_is_target
chicken + Japanese,chicken,cooc,0,1.000000,1,garlic,0.393400,False
chicken + Japanese,chicken,cooc,0,1.000000,2,onion,0.366200,False
chicken + Japanese,chicken,cooc,0,1.000000,3,black_pepper,0.358100,False
chicken + Japanese,chicken,cooc,0,1.000000,4,turkey,0.348000,False
chicken + Japanese,chicken,cooc,0,1.000000,5,carrot,0.342500,False
chicken + Japanese,chicken,cooc,30,0.866025,1,mentsuyu,0.433400,True
chicken + Japanese,chicken,cooc,30,0.866025,2,bonito_flakes,0.377200,True
chicken + Japanese,chicken,cooc,30,0.866025,3,udon_noodle,0.373300,True
chicken + Japanese,chicken,cooc,30,0.866025,4,shichimi_togarashi,0.366200,True
chicken + Japanese,chicken,cooc,30,0.866025,5,carrot,0.361200,False
chicken + Japanese,chicken,cooc,60,0.500000,1,mentsuyu,0.523300,True
chicken + Japanese,chicken,cooc,60,0.500000,2,dashi,0.477500,True
chicken + Japanese,chicken,cooc,60,0.500000,3,bonito_flakes,0.466000,True
chicken + Japanese,chicken,cooc,60,0.500000,4,burdock_root,0.440900,True
chicken + Japanese,chicken,cooc,60,0.500000,5,mirin,0.440400,True
chicken + Japanese,chicken,core,0,1.000000,1,pork,0.580800,False
chicken + Japanese,chicken,core,0,1.000000,2,beef,0.571200,False
chicken + Japanese,chicken,core,0,1.000000,3,chicken_broth,0.549900,False
chicken + Japanese,chicken,core,0,1.000000,4,peanut,0.523300,False
chicken + Japanese,chicken,core,0,1.000000,5,cream_of_chicken_soup,0.521700,False
chicken + Japanese,chicken,core,30,0.866025,1,dashi,0.624100,True
chicken + Japanese,chicken,core,30,0.866025,2,burdock_root,0.618600,True
chicken + Japanese,chicken,core,30,0.866025,3,kombu,0.617300,True
chicken + Japanese,chicken,core,30,0.866025,4,mirin,0.612500,True
chicken + Japanese,chicken,core,30,0.866025,5,udon_noodle,0.585400,True
chicken + Japanese,chicken,core,60,0.500000,1,dashi,0.684000,True
chicken + Japanese,chicken,core,60,0.500000,2,mirin,0.665700,True
chicken + Japanese,chicken,core,60,0.500000,3,kombu,0.648100,True
chicken + Japanese,chicken,core,60,0.500000,4,bonito_flakes,0.636800,True
chicken + Japanese,chicken,core,60,0.500000,5,burdock_root,0.631300,True
chicken + Japanese,chicken,chem,0,1.000000,1,beef,0.405100,False
chicken + Japanese,chicken,chem,0,1.000000,2,pork,0.339700,False
chicken + Japanese,chicken,chem,0,1.000000,3,cream_of_chicken_soup,0.310700,False
chicken + Japanese,chicken,chem,0,1.000000,4,buffalo_wing_sauce,0.288200,False
chicken + Japanese,chicken,chem,0,1.000000,5,peanut,0.282100,False
chicken + Japanese,chicken,chem,30,0.866025,1,mirin,0.396000,True
chicken + Japanese,chicken,chem,30,0.866025,2,bonito_flakes,0.367600,True
chicken + Japanese,chicken,chem,30,0.866025,3,udon_noodle,0.362500,True
chicken + Japanese,chicken,chem,30,0.866025,4,dashi,0.359600,True
chicken + Japanese,chicken,chem,30,0.866025,5,yuzu_kosho,0.337900,True
chicken + Japanese,chicken,chem,60,0.500000,1,dashi,0.534200,True
chicken + Japanese,chicken,chem,60,0.500000,2,mirin,0.532700,True
chicken + Japanese,chicken,chem,60,0.500000,3,bonito_flakes,0.521700,True
chicken + Japanese,chicken,chem,60,0.500000,4,mentsuyu,0.498000,True
chicken + Japanese,chicken,chem,60,0.500000,5,chikuwa,0.482300,True
beef + East_Asian,beef,cooc,0,1.000000,1,onion,0.414000,False
beef + East_Asian,beef,cooc,0,1.000000,2,pork,0.369800,False
beef + East_Asian,beef,cooc,0,1.000000,3,black_pepper,0.354000,False
beef + East_Asian,beef,cooc,0,1.000000,4,garlic,0.351700,False
beef + East_Asian,beef,cooc,0,1.000000,5,potato,0.319600,False
beef + East_Asian,beef,cooc,30,0.866025,1,pork,0.451800,False
beef + East_Asian,beef,cooc,30,0.866025,2,shiitake_mushroom,0.412500,True
beef + East_Asian,beef,cooc,30,0.866025,3,dark_soy_sauce,0.388900,True
beef + East_Asian,beef,cooc,30,0.866025,4,blood_tofu,0.388300,True
beef + East_Asian,beef,cooc,30,0.866025,5,braising_liquid,0.377400,False
beef + East_Asian,beef,cooc,60,0.500000,1,shaoxing_wine,0.476500,True
beef + East_Asian,beef,cooc,60,0.500000,2,shiitake_mushroom,0.474200,True
beef + East_Asian,beef,cooc,60,0.500000,3,light_soy_sauce,0.472900,True
beef + East_Asian,beef,cooc,60,0.500000,4,yu_choy,0.467700,True
beef + East_Asian,beef,cooc,60,0.500000,5,mala_sauce,0.456800,True
beef + East_Asian,beef,core,0,1.000000,1,chicken,0.571200,False
beef + East_Asian,beef,core,0,1.000000,2,taco_seasoning,0.555600,False
beef + East_Asian,beef,core,0,1.000000,3,bell_pepper,0.546400,False
beef + East_Asian,beef,core,0,1.000000,4,enchilada_sauce,0.545600,False
beef + East_Asian,beef,core,0,1.000000,5,mushroom,0.536400,False
beef + East_Asian,beef,core,30,0.866025,1,light_soy_sauce,0.650500,True
beef + East_Asian,beef,core,30,0.866025,2,oyster_sauce,0.630800,True
beef + East_Asian,beef,core,30,0.866025,3,hot_pot_base,0.629700,True
beef + East_Asian,beef,core,30,0.866025,4,enoki_mushroom,0.628900,True
beef + East_Asian,beef,core,30,0.866025,5,daikon,0.627800,True
beef + East_Asian,beef,core,60,0.500000,1,light_soy_sauce,0.713300,True
beef + East_Asian,beef,core,60,0.500000,2,shaoxing_wine,0.688900,True
beef + East_Asian,beef,core,60,0.500000,3,oyster_sauce,0.684000,True
beef + East_Asian,beef,core,60,0.500000,4,tofu_skin,0.680000,True
beef + East_Asian,beef,core,60,0.500000,5,dried_lily_bud,0.670900,True
beef + East_Asian,beef,chem,0,1.000000,1,chicken,0.405100,False
beef + East_Asian,beef,chem,0,1.000000,2,taco_sauce,0.337400,False
beef + East_Asian,beef,chem,0,1.000000,3,taco_seasoning,0.328000,False
beef + East_Asian,beef,chem,0,1.000000,4,mushroom,0.297900,False
beef + East_Asian,beef,chem,0,1.000000,5,tortilla,0.268400,False
beef + East_Asian,beef,chem,30,0.866025,1,chicken,0.363600,False
beef + East_Asian,beef,chem,30,0.866025,2,light_soy_sauce,0.341300,True
beef + East_Asian,beef,chem,30,0.866025,3,hot_pot_base,0.340100,True
beef + East_Asian,beef,chem,30,0.866025,4,yu_choy,0.332800,True
beef + East_Asian,beef,chem,30,0.866025,5,oyster_sauce,0.330200,True
beef + East_Asian,beef,chem,60,0.500000,1,light_soy_sauce,0.474400,True
beef + East_Asian,beef,chem,60,0.500000,2,oyster_sauce,0.457900,True
beef + East_Asian,beef,chem,60,0.500000,3,yu_choy,0.452600,True
beef + East_Asian,beef,chem,60,0.500000,4,shaoxing_wine,0.449300,True
beef + East_Asian,beef,chem,60,0.500000,5,tofu_skin,0.445900,True
salmon + Mediterranean,salmon,cooc,0,1.000000,1,wasabi,0.348300,False
salmon + Mediterranean,salmon,cooc,0,1.000000,2,avocado,0.324500,False
salmon + Mediterranean,salmon,cooc,0,1.000000,3,ponzu,0.318900,False
salmon + Mediterranean,salmon,cooc,0,1.000000,4,balsamic_vinegar,0.318000,True
salmon + Mediterranean,salmon,cooc,0,1.000000,5,scallop,0.317100,False
salmon + Mediterranean,salmon,cooc,30,0.866025,1,balsamic_vinegar,0.407800,True
salmon + Mediterranean,salmon,cooc,30,0.866025,2,cooking_spray,0.360700,False
salmon + Mediterranean,salmon,cooc,30,0.866025,3,thyme,0.357800,False
salmon + Mediterranean,salmon,cooc,30,0.866025,4,tapenade,0.357800,True
salmon + Mediterranean,salmon,cooc,30,0.866025,5,white_wine,0.357700,False
salmon + Mediterranean,salmon,cooc,60,0.500000,1,tapenade,0.391100,True
salmon + Mediterranean,salmon,cooc,60,0.500000,2,balsamic_vinegar,0.388400,True
salmon + Mediterranean,salmon,cooc,60,0.500000,3,gruyere_cheese,0.376400,True
salmon + Mediterranean,salmon,cooc,60,0.500000,4,thyme,0.371800,False
salmon + Mediterranean,salmon,cooc,60,0.500000,5,pancetta,0.367600,True
salmon + Mediterranean,salmon,core,0,1.000000,1,trout,0.649100,False
salmon + Mediterranean,salmon,core,0,1.000000,2,ham,0.630000,False
salmon + Mediterranean,salmon,core,0,1.000000,3,mirin,0.617400,False
salmon + Mediterranean,salmon,core,0,1.000000,4,cod,0.616800,False
salmon + Mediterranean,salmon,core,0,1.000000,5,fish_roe,0.611500,False
salmon + Mediterranean,salmon,core,30,0.866025,1,olive_oil,0.621800,False
salmon + Mediterranean,salmon,core,30,0.866025,2,balsamic_vinegar,0.602200,True
salmon + Mediterranean,salmon,core,30,0.866025,3,trout,0.583500,False
salmon + Mediterranean,salmon,core,30,0.866025,4,pesto,0.578300,True
salmon + Mediterranean,salmon,core,30,0.866025,5,portobello_mushroom,0.562200,False
salmon + Mediterranean,salmon,core,60,0.500000,1,olive_oil,0.515500,False
salmon + Mediterranean,salmon,core,60,0.500000,2,balsamic_vinegar,0.496800,True
salmon + Mediterranean,salmon,core,60,0.500000,3,pesto,0.496100,True
salmon + Mediterranean,salmon,core,60,0.500000,4,goat_cheese,0.486400,False
salmon + Mediterranean,salmon,core,60,0.500000,5,tapenade,0.465500,True
salmon + Mediterranean,salmon,chem,0,1.000000,1,ham,0.498600,False
salmon + Mediterranean,salmon,chem,0,1.000000,2,trout,0.355800,False
salmon + Mediterranean,salmon,chem,0,1.000000,3,tuna,0.336700,False
salmon + Mediterranean,salmon,chem,0,1.000000,4,cod,0.329800,False
salmon + Mediterranean,salmon,chem,0,1.000000,5,miso,0.310300,False
salmon + Mediterranean,salmon,chem,30,0.866025,1,ham,0.440200,False
salmon + Mediterranean,salmon,chem,30,0.866025,2,feta_cheese,0.370300,True
salmon + Mediterranean,salmon,chem,30,0.866025,3,pesto,0.361100,True
salmon + Mediterranean,salmon,chem,30,0.866025,4,olive_oil,0.358100,False
salmon + Mediterranean,salmon,chem,30,0.866025,5,trout,0.356400,False
salmon + Mediterranean,salmon,chem,60,0.500000,1,fontina_cheese,0.417600,True
salmon + Mediterranean,salmon,chem,60,0.500000,2,balsamic_vinegar,0.398600,True
salmon + Mediterranean,salmon,chem,60,0.500000,3,pesto,0.396900,True
salmon + Mediterranean,salmon,chem,60,0.500000,4,olive_oil,0.395200,False
salmon + Mediterranean,salmon,chem,60,0.500000,5,tapenade,0.374500,True
rice + South_Asian,rice,cooc,0,1.000000,1,carrot,0.335000,False
rice + South_Asian,rice,cooc,0,1.000000,2,okra,0.331600,False
rice + South_Asian,rice,cooc,0,1.000000,3,vegetable_oil,0.325700,False
rice + South_Asian,rice,cooc,0,1.000000,4,pea,0.311700,False
